icao_id,name,state,wban_id,wmo_id,lat,lng,elevation_feet
KDEW,"Deer Park, Deer Park Airport",WA,94119,72787,47.97417,-117.42833,671.99
KDLS,The Dalles Municipal Airport,WA,24219,,45.61901,-121.16572,71.23
KEAT,Wenatchee - Pangborn Memorial Airport,WA,94239,,47.39749,-120.20121,377.46
KELN,"Ellensburg, Ellensburg Bowers Field",WA,24220,,47.03377,-120.53132,532.52
KEPH,"Ephrata, Ephrata Municipal Airport",WA,24141,72790,47.3075,-119.51583,382.13
KFHR,Friday Harbor Airport,WA,94276,,48.52,-123.02637,34.24
KGEG,"Spokane, Spokane International Airport",WA,24157,72785,47.62139,-117.52778,717.72
KGRF,Fort Lewis / Gray U. S. Army Airfield,WA,24201,74207,47.11667,-122.55,0.0
KHQM,"Hoquiam, Bowerman Airport",WA,94225,,46.97111,-123.92,4.49
KKLS,Southwest Washington Regional Airport,WA,24223,,46.11553,-122.89273,0.0
KMWH,Grant County Airport,WA,24110,,47.19299,-119.31451,356.27
KNUW,Whidbey Island Naval Air Station - Ault Field,WA,24255,,48.35525,-122.66352,0.0
KOLM,"Olympia, Olympia Airport",WA,24227,72792,46.97333,-122.90333,60.87
KPAE,Everett Snohomish County,WA,24222,,47.92331,-122.28305,167.13
KPSC,Tri-Cities Airport,WA,24163,,46.26955,-119.11813,122.07
KPUW,Pullman / Moscow Regional Airport,WA,94129,,46.74377,-117.11579,775.72
KPWT,"Bremerton, Bremerton National Airport",WA,94263,,47.5,-122.75,0.0
KRNT,Renton Municipal Airport,WA,94248,,47.49509,-122.21437,5.52
KSEA,"Seattle, Seattle-Tacoma International Airport",WA,24233,72793,47.44472,-122.31361,112.53
KSFF,"Spokane, Felts Field",WA,94176,,47.68556,-117.32028,594.55
KSHN,"Shelton, Shelton Sanderson Field",WA,94227,,47.23806,-123.14083,84.24
KSKA,Fairchild Air Force Base,WA,24114,,47.61667,-117.65,0.0
KSMP,Stampede Pass,WA,24237,,47.27648,-121.33817,1206.7
KTCM,Tacoma / McChord Air Force Base,WA,24207,74206,47.15,-122.48333,0.0
KTIW,"Tacoma, Tacoma Narrows Airport",WA,94274,,47.2675,-122.57611,88.37
KUIL,"Quillayute, Quillayute State Airport",WA,94240,72797,47.9375,-124.555,56.81
KVUO,Pearson Airfield,WA,94298,,45.62103,-122.65419,6.55
KYKM,Yakima Air Terminal - McAllister Field,WA,24243,72781,46.56402,-120.53484,321.03
KOMK,Omak Airport,WA,94197,72789,48.46116,-119.52086,397.36
KBVS,"Burlington/Mount Vernon, Skagit Regional Airport",WA,94282,,48.47083,-122.42083,42.67
K63S,Colville Municipal Airport,WA,,,48.54417,-117.88353,575.01
KNOW,Port Angeles Coast Guard Air Station,WA,24228,74201,48.13333,-123.4,0.0
KORS,"Eastsound, Orcas Island Airport",WA,04224,,48.70806,-122.91028,9.45
KCLS,Chehalis-Centralia Airport,WA,00119,,46.677,-122.9827,54.25
KPLU,Pierce County-Thun Field,WA,00469,,47.104,-122.287,164.29
KRLD,Richland Airport,WA,,,46.30859,-119.3058,120.09
K1S5,Sunnyside Municipal Airport,WA,,,46.3271,-119.9704,232.87
K0S9,Port Townsend Jefferson County International Airport,WA,,,48.05517,-122.81159,32.92
KS52,Methow Valley,WA,,,48.42495,-120.14589,519.99
KAIG,Langlade County Airport,WI,04864,,45.15659,-89.11144,463.91
KARV,"Minocqua/Woodruff, Lakeland Airport/Noble F. Lee Memorial Field",WI,04865,,45.93333,-89.73333,496.82
KASX,John F Kennedy Memorial Airport,WI,94929,,46.54679,-90.91841,250.19
KATW,Appleton-Outagamie,WI,04825,,44.2595,-88.51567,279.5
KAUW,Wausau Downtown Airport,WI,14897,,44.92759,-89.62512,366.0
KBUU,Burlington Municipal Airport,WI,04866,,42.69088,-88.308,237.44
KCLI,Clintonville Municipal Airport,WI,54832,,44.61526,-88.73129,250.55
KCMY,"Sparta, Sparta / Fort McCoy Airport",WI,94940,,43.95833,-90.73778,252.68
KCWA,Mosinee,WI,94890,,44.77944,-89.67098,0.0
KDLL,Baraboo Wisconsin Dells Airport,WI,54833,,43.52372,-89.77345,297.48
KEAU,Chippewa Valley Regional Airport,WI,14991,,44.86668,-91.488,269.39
KEFT,Monroe Municipal Airport,WI,04873,,42.61959,-89.59309,330.71
KEGV,Eagle River Union Airport,WI,54838,,45.93093,-89.26702,500.48
KENW,"Kenosha, Kenosha Regional Airport",WI,04845,,42.595,-87.93806,223.47
KETB,West Bend Municipal Airport,WI,04875,,43.42256,-88.1326,269.44
KFLD,Fond Du Lac County Airport,WI,04840,,43.76955,-88.49072,242.45
KGRB,"Green Bay, Austin Straubel International Airport",WI,14898,72645,44.47944,-88.13667,209.31
KHYR,Sawyer County Airport,WI,94973,,46.03029,-91.44259,368.89
KISW,"Wisconsin Rapids, Alexander Field South Wood County Airport",WI,04826,,44.35917,-89.83694,309.36
KJVL,Janesville-Rock County,WI,94854,,42.62135,-89.04186,0.0
KLNR,Lone Rock Tri-County Regional Airport,WI,14921,,43.21108,-90.18735,218.04
KLSE,La Crosse - La Crosse Regional Airport,WI,14920,72643,43.87944,-91.25667,198.15
KMDZ,Taylor County Airport,WI,54911,,45.10462,-90.30253,448.06
KMFI,"Marshfield, Marshfield Municipal Airport",WI,94985,,44.63806,-90.1875,381.51
